split,track_id,frame_index,target_type,payload_capability,adversarial_capability,endurance_margin,mission_type,coordination_level,heading_angle,route_deviation,distance,velocity,altitude,time_to_arrival,swarm_size,defense_capability,target_asset_value,track_confidence,threat_label,urgency_label
train,158,0,0.00000000,0.20736721,0.32137847,0.51200527,0.00000000,0.16066502,0.98000002,0.10146179,0.98000002,0.20627061,0.55386949,0.98000002,0.29582649,0.54629320,0.77567047,0.67609513,1,1
train,158,1,0.00000000,0.23628348,0.31665078,0.50090212,0.00000000,0.15705845,0.98000002,0.05796003,0.98000002,0.20664246,0.52002865,0.98000002,0.32994789,0.60487527,0.83055264,0.69161612,1,1
train,158,2,0.00000000,0.19975699,0.29843411,0.50137562,0.00000000,0.14050882,0.98000002,0.02000000,0.98000002,0.25696883,0.56235212,0.97274214,0.35056007,0.55960423,0.81148589,0.62680238,1,1
train,158,3,0.00000000,0.24885575,0.32171708,0.53687823,0.00000000,0.12823652,0.98000002,0.02000000,0.97363889,0.22325894,0.57728845,0.98000002,0.36391222,0.52944142,0.83359581,0.65403134,1,1
train,158,4,0.00000000,0.20245758,0.29368207,0.47690070,0.00000000,0.16308935,0.98000002,0.05634345,0.98000002,0.19134715,0.56625086,0.98000002,0.30299410,0.58470500,0.77310938,0.68911219,1,1
train,158,5,0.00000000,0.22740741,0.23667689,0.51168400,0.00000000,0.11960501,0.94623810,0.02978151,0.98000002,0.22655469,0.53130478,0.98000002,0.38229391,0.54664963,0.82699567,0.69604462,1,1
train,158,6,0.00000000,0.25951862,0.30724087,0.47876137,0.00000000,0.13112290,0.98000002,0.02075238,0.96440661,0.21271260,0.52862978,0.96192443,0.32401133,0.52978575,0.82952452,0.62111855,1,1
train,158,7,0.00000000,0.22592619,0.32876328,0.44949177,0.00000000,0.14984889,0.95945716,0.06521222,0.94856942,0.23462500,0.53683043,0.91630673,0.37245008,0.59778237,0.79150921,0.62428665,1,1
train,158,8,0.00000000,0.21987283,0.28110635,0.58197451,0.00000000,0.10196388,0.95610696,0.07339251,0.97706616,0.23115729,0.52333808,0.94925684,0.30503568,0.55697823,0.80996716,0.66370690,1,1
train,158,9,0.00000000,0.21353383,0.30990008,0.52637780,0.00000000,0.12183713,0.96360046,0.05207643,0.90911007,0.16894296,0.53388733,0.98000002,0.39943805,0.54458708,0.81680304,0.68716770,1,1
train,158,10,0.00000000,0.25179845,0.31238216,0.46317345,0.00000000,0.07823459,0.92407489,0.05300630,0.96316648,0.19834732,0.52876127,0.95725197,0.43060496,0.57021469,0.84593076,0.67614210,1,1
train,158,11,0.00000000,0.24201678,0.26328886,0.50973696,0.00000000,0.10580076,0.96741372,0.06686603,0.98000002,0.27468973,0.58627975,0.95901704,0.34189060,0.55523282,0.82300121,0.68156552,1,1
train,158,12,0.00000000,0.17778914,0.30071756,0.49215877,0.00000000,0.14711666,0.95112848,0.02579634,0.93878794,0.17824763,0.57012659,0.95108455,0.34086210,0.56096524,0.81192410,0.67238557,1,1
train,158,13,0.00000000,0.19483171,0.27849662,0.44658762,0.00000000,0.17155275,0.92332673,0.08364736,0.97697330,0.20088974,0.52901208,0.98000002,0.31726953,0.56861120,0.83932626,0.61018932,1,1
train,158,14,0.00000000,0.24999383,0.34896854,0.46906084,0.00000000,0.18477365,0.98000002,0.06855807,0.98000002,0.20816001,0.56219715,0.91985750,0.33662647,0.59254175,0.85480148,0.68311554,1,1
train,158,15,0.00000000,0.25551990,0.20989814,0.51212454,0.00000000,0.11646730,0.91614449,0.04795095,0.94364470,0.20378274,0.51575142,0.96444356,0.38638702,0.57635850,0.81989843,0.63159239,1,1
train,158,16,0.00000000,0.20599550,0.28470892,0.44126931,0.00000000,0.14031318,0.96304810,0.10013970,0.94317895,0.24277322,0.48255077,0.96414626,0.32744005,0.58342475,0.81418371,0.58383149,1,1
train,158,17,0.00000000,0.20968604,0.31808823,0.52427274,0.00000000,0.18774129,0.96181858,0.12136249,0.90135348,0.26013359,0.54715073,0.90551192,0.37744024,0.57450891,0.83723962,0.64553416,1,1
train,158,18,0.00000000,0.28329688,0.24079737,0.50734073,0.00000000,0.12585932,0.92664939,0.04419655,0.90593868,0.20796016,0.54457635,0.96382433,0.29677388,0.56197608,0.85268140,0.71332389,1,1
train,158,19,0.00000000,0.25602394,0.31846640,0.47523507,0.00000000,0.11838581,0.97498256,0.02000000,0.91540569,0.22231530,0.51510048,0.92683589,0.35742003,0.51784891,0.87231427,0.65918946,1,1
train,158,20,0.00000000,0.20858379,0.28867510,0.54620844,0.00000000,0.15650094,0.92669922,0.10679669,0.93800521,0.28621727,0.53536481,0.97597802,0.33741581,0.56723088,0.79998404,0.64226735,1,1
train,158,21,0.00000000,0.26443368,0.31597194,0.47359350,0.00000000,0.16892211,0.90977526,0.05421450,0.89415681,0.17812541,0.54642981,0.95355839,0.33148810,0.58876473,0.82212490,0.66511297,1,1
train,158,22,0.00000000,0.24531116,0.29758728,0.51674742,0.00000000,0.15011616,0.90161157,0.07765827,0.87364721,0.19552195,0.55094659,0.98000002,0.35532814,0.55906659,0.82223070,0.61082464,1,1
train,158,23,0.00000000,0.20989209,0.26683655,0.52005309,0.00000000,0.17423308,0.93103594,0.08399425,0.90500945,0.26680568,0.55085826,0.88779271,0.33869860,0.55912131,0.84062833,0.67286903,1,1
train,158,24,0.00000000,0.21144415,0.24135114,0.46271053,0.00000000,0.13491245,0.84013087,0.05773599,0.88341820,0.26040027,0.53236926,0.96934611,0.36048436,0.55599827,0.88665509,0.64193845,1,1
train,158,25,0.00000000,0.24837488,0.28661793,0.51185381,0.00000000,0.19329721,0.92534995,0.05964549,0.88371348,0.33170670,0.57820576,0.98000002,0.36383411,0.59893477,0.81997204,0.69253951,1,1
train,158,26,0.00000000,0.21004327,0.34080318,0.51047254,0.00000000,0.21540248,0.90166652,0.08171920,0.85981852,0.22981545,0.48936519,0.96608615,0.30068165,0.59049231,0.86149013,0.63003618,1,1
train,158,27,0.00000000,0.18111017,0.29344669,0.48318106,0.00000000,0.23123805,0.92518914,0.08434074,0.88367611,0.28964320,0.47535437,0.91916966,0.36298361,0.59595984,0.84649491,0.66877425,1,1
train,158,28,0.00000000,0.23715107,0.29651463,0.46530250,0.00000000,0.17541021,0.87370139,0.08233500,0.92824161,0.24880585,0.57841617,0.90425164,0.34428549,0.57501477,0.83566427,0.64256001,1,1
train,158,29,0.00000000,0.25032863,0.29183453,0.47609904,0.00000000,0.20093553,0.91333276,0.03728796,0.85085565,0.24040195,0.47693223,0.93765283,0.32931063,0.56810111,0.87083960,0.62409884,1,1
train,158,30,0.00000000,0.29832900,0.27591079,0.51957256,0.00000000,0.15533018,0.85712701,0.09032632,0.90725774,0.28566676,0.54814559,0.92545515,0.35887939,0.59127772,0.85103405,0.59547162,1,1
train,158,31,0.00000000,0.18351965,0.32457897,0.55287379,0.00000000,0.13189316,0.88234180,0.09650902,0.88870114,0.26721227,0.51343894,0.97209352,0.37989819,0.60824859,0.87025434,0.65730935,1,1
train,158,32,0.00000000,0.17177837,0.28290057,0.53978586,0.00000000,0.16830502,0.87146670,0.04489474,0.87159741,0.26059714,0.53818268,0.89105135,0.36365667,0.58176816,0.84119087,0.63482648,1,1
train,158,33,0.00000000,0.24330367,0.25186124,0.48410705,0.00000000,0.23875605,0.83611751,0.07699835,0.78118718,0.26920113,0.52546716,0.91483140,0.35748398,0.53803331,0.84476727,0.63514739,1,1
train,158,34,0.00000000,0.21864274,0.26266852,0.51434797,0.00000000,0.17857607,0.87535030,0.09042971,0.83033377,0.23437031,0.46766043,0.95197904,0.34811714,0.60572088,0.85197616,0.60127074,1,1
train,158,35,0.00000000,0.21330301,0.26456091,0.51046836,0.00000000,0.24187818,0.86256611,0.06287163,0.80684853,0.24454315,0.47076091,0.92877668,0.38322291,0.54375714,0.84964299,0.63211590,1,1
train,158,36,0.00000000,0.22317272,0.31931150,0.50508809,0.00000000,0.18450885,0.83402538,0.11891358,0.79598707,0.30324474,0.42215249,0.94701850,0.34864157,0.54088241,0.78507251,0.57871062,1,1
train,158,37,0.00000000,0.20497763,0.33917198,0.47895589,0.00000000,0.23623276,0.78041154,0.05106559,0.81228024,0.29601255,0.48106933,0.92984962,0.37097847,0.56179714,0.88056290,0.61961150,1,1
train,158,38,0.00000000,0.18654864,0.26836607,0.47951171,0.00000000,0.20647956,0.79051960,0.13176787,0.87626857,0.24682654,0.49889743,0.92741287,0.33725148,0.59468400,0.81026304,0.62702197,1,1
train,158,39,0.00000000,0.24265936,0.24180192,0.54114074,0.00000000,0.22588347,0.85989976,0.05327856,0.81349635,0.27861974,0.53219634,0.92888343,0.33256471,0.51270384,0.81860435,0.59064090,1,1
train,158,40,0.00000000,0.21597461,0.28191620,0.51144814,0.00000000,0.18371575,0.86032695,0.11955731,0.78740710,0.26664636,0.55953121,0.92612433,0.36711040,0.63430071,0.85455769,0.59185642,1,1
